You must move immediately after reaching line 1, and line 1 must be reached right before moving;G(robot_at_rob_l1 <-> X move_executed)
To empty the bin, you must first visit line 2, and line 2 must be visited immediately before emptying the bin;G(robot_at_rob_l2 <-> X empty_box_executed)
Without checking a grape, you cannot move. Checking a grape must be done right before moving;G(check_grape_executed <-> X move_executed)
After visiting line 0, you must call the support robot, and calling the support robot should happen immediately after visiting line 0;G(robot_at_rob_l0 <-> X call_support_executed)
Dropping a grape must follow immediately after visiting line 3, and line 3 must be visited right before dropping a grape;G(robot_at_rob_l3 <-> X drop_grape_executed)
To harvest a grape, you need to move, and moving should occur right before harvesting a grape;G(move_executed <-> X harvest_grape_executed)
You can't empty the bin without visiting line 2 first, and visiting line 2 must happen right before emptying the bin;G(robot_at_rob_l2 <-> X empty_box_executed)
After calling the support robot, you must move, and moving must occur immediately after calling the support robot;G(call_support_executed <-> X move_executed)
Harvesting a grape must be done immediately after visiting line 3, and visiting line 3 must precede harvesting a grape;G(robot_at_rob_l3 <-> X harvest_grape_executed)
To check a grape, you must visit line 0, and visiting line 0 should happen right before checking a grape;G(robot_at_rob_l0 <-> X check_grape_executed)
You cannot drop a grape without first moving, and moving should happen right before dropping a grape;G(move_executed <-> X drop_grape_executed)
After visiting line 1, you must empty the bin, and emptying the bin must follow immediately after visiting line 1;G(robot_at_rob_l1 <-> X empty_box_executed)
To call the support robot, you need to check a grape, and checking a grape should occur right before calling the support robot;G(check_grape_executed <-> X call_support_executed)
Without harvesting a grape, you cannot check a grape. Harvesting a grape must occur right before checking a grape;G(harvest_grape_executed <-> X check_grape_executed)
Moving must happen immediately after visiting line 2, and line 2 must be visited right before moving;G(robot_at_rob_l2 <-> X move_executed)
You must call the support robot immediately after visiting line 0, and visiting line 0 must precede calling the support robot;G(robot_at_rob_l0 <-> X call_support_executed)
Dropping a grape must follow immediately after visiting line 1, and line 1 must be visited right before dropping a grape;G(robot_at_rob_l1 <-> X drop_grape_executed)
After checking a grape, you must move, and moving must happen immediately after checking a grape;G(check_grape_executed <-> X move_executed)
To move, you need to drop a grape, and dropping a grape should happen right before moving;G(drop_grape_executed <-> X move_executed)
Without harvesting a grape, you cannot check a grape. Harvesting a grape must occur right before checking a grape;G(harvest_grape_executed <-> X check_grape_executed)
Moving must happen immediately after visiting line 3, and line 3 must be visited right before moving;G(robot_at_rob_l3 <-> X move_executed)
You cannot empty the bin without first harvesting a grape. Harvesting a grape must occur right before emptying the bin;G(harvest_grape_executed <-> X empty_box_executed)
To check a grape, you need to empty the bin, and emptying the bin should happen right before checking a grape;G(empty_box_executed <-> X check_grape_executed)
Without calling the support robot, you cannot check a grape. Calling the support robot must occur right before checking a grape;G(call_support_executed <-> X check_grape_executed)
Moving must happen immediately after visiting line 1, and line 1 must be visited right before moving;G(robot_at_rob_l1 <-> X move_executed)
You cannot check a grape without first dropping a grape. Dropping a grape must occur right before checking a grape;G(drop_grape_executed <-> X check_grape_executed)
After harvesting a grape, you must move, and moving must occur immediately after harvesting a grape;G(harvest_grape_executed <-> X move_executed)
To empty the bin, you need to check a grape, and checking a grape should happen right before emptying the bin;G(check_grape_executed <-> X empty_box_executed)
Without moving, you cannot empty the bin. Moving must occur right before emptying the bin;G(move_executed <-> X empty_box_executed)
Dropping a grape must follow immediately after visiting line 2, and line 2 must be visited right before dropping a grape;G(robot_at_rob_l2 <-> X drop_grape_executed)
